Cubs, West Side Grounds, Chicago, 16000, 186 yd, 2 ft, 0 in
Highlanders, Hilltop Park, New York, 15000, 180 yd, 2 ft, 0 in
Giants, Hilltop Park, New York, 15000, 180 yd, 2 ft, 0 in
Pilgrims/Red Sox, Huntington Ave Baseball Grounds, Boston, 11500, 176 yd, 2 ft, 0 in
Braves, Fenway Park, Boston, 35000, 162 yd, 2 ft, 0 in
Mets, Polo Grounds (V), New York, 56000, 161 yd, 0 ft, 0 in
Giants, Polo Grounds (V), New York, 54500, 160 yd, 0 ft, 0 in
Athletics, Shibe Park, Philadelphia, 33166, 156 yd, 0 ft, 0 in
Yankees, Yankee Stadium (I), New York, 67000, 153 yd, 2 ft, 0 in
Pirates, Exposition Park (III), Pittsburgh, 16000, 150 yd, 0 ft, 0 in
Tigers, Tiger Stadium, Detroit, 46945, 146 yd, 2 ft, 0 in
Cardinals, Robison Field, St. Louis, 21000, 145 yd, 0 ft, 0 in
Pirates, Forbes Field, Pittsburgh, 35000, 145 yd, 0 ft, 0 in
Astros, Minute Maid Park, Houston, 42000, 145 yd, 0 ft, 0 in
Giants, Polo Grounds (IV), New York, 16000, 144 yd, 1 ft, 0 in
Yankees, Polo Grounds (V), New York, 38000, 144 yd, 1 ft, 0 in
Rockies, Mile High Stadium, Denver, 76037, 141 yd, 0 ft, 0 in
Tigers, Comerica Park, Detroit, 40637, 140 yd, 2 ft, 0 in
Royals, Municipal Stadium, Kansas City, 35561, 140 yd, 1 ft, 0 in
Senators, Griffith Stadium, Washington, 27550, 140 yd, 1 ft, 0 in
Athletics, Municipal Stadium, Kansas City, 32561, 140 yd, 1 ft, 0 in
Senators, Griffith Stadium, Washington, 28669, 140 yd, 1 ft, 0 in
Cardinals, Sportsman's Park (III), St. Louis, 30500, 140 yd, 0 ft, 0 in
Naps/Indians, League Park (II), Cleveland, 22500, 140 yd, 0 ft, 0 in
Colt .45s, Colt Stadium, Houston, 32601, 140 yd, 0 ft, 0 in
Browns, Sportsman's Park (III), St. Louis, 34450, 140 yd, 0 ft, 0 in
Dodgers, Memorial Coliseum, Los Angeles, 94600, 140 yd, 0 ft, 0 in
Expos, Parc Jarry, Montreal, 28456, 139 yd, 0 ft, 0 in
Rockies, Coors Field, Denver, 50249, 138 yd, 1 ft, 0 in
Angels, Wrigley Field, Los Angeles, 20457, 137 yd, 1 ft, 0 in
Dodgers, Roosevelt Stadium, Jersey City, 24500, 137 yd, 0 ft, 0 in
Phillies, Connie Mack Stadium, Philadelphia, 33608, 136 yd, 2 ft, 0 in
Mets, Shea Stadium, New York, 55775, 136 yd, 2 ft, 0 in
Senators, RFK Stadium, Washington, 43500, 136 yd, 2 ft, 0 in
Royals, Kauffman Stadium, Kansas City, 40625, 136 yd, 2 ft, 0 in
Yankees, Shea Stadium, New York, 55600, 136 yd, 2 ft, 0 in
Angels, Dodger Stadium, Los Angeles, 56000, 136 yd, 2 ft, 0 in
Giants, 3Com Park, San Francisco, 58000, 136 yd, 2 ft, 0 in
White Sox, Comiskey Park (I), Chicago, 43951, 136 yd, 1 ft, 0 in
Yankees, Yankee Stadium (II), New York, 57545, 136 yd, 0 ft, 0 in
